Requisition_ID,Job_Family,Job_Role,Job_Band,Experience_Required_Years,City,Interview_Panel_Availability,Total_Interview_Rounds,Assessment_Included,Candidate_Source,Notice_Period_Days,Job_Posted_Date,Hire_Date,Time to hire
HT0001,Technology,Data Engineer,Band_6,18,Nagoya,1,1,No,Naukri,90,2024-10-08,2024-10-25,17
HT0002,Sales,Sales Manager,Band_2,9,Shanghai,1,1,Yes,Consultant,30,2025-04-04,2025-04-27,23
HT0003,Operations,Supply Chain Lead,Band_5,10,Chennai,1,3,No,Naukri,90,2024-09-27,2024-10-19,22
HT0004,Technology,Data Engineer,Band_1,2,Shanghai,2,3,No,Naukri,60,2025-01-24,2025-02-15,22
HT0005,HR,Recruiter,Band_3,2,Bangalore,2,3,Yes,Referral,60,2025-10-17,2025-11-10,24
HT0006,HR,Recruiter,Band_6,19,Nagoya,2,3,No,Consultant,90,2025-04-14,2025-05-05,21
HT0007,Technology,Data Engineer,Band_2,1,Shenzhen,1,3,Yes,Other,60,2025-10-04,2025-10-26,22
HT0008,Operations,Operations Analyst,Band_3,6,Shenzhen,5,1,Yes,Naukri,60,2025-03-21,2025-04-14,24
HT0009,Sales,Account Executive,Band_5,18,Bangalore,1,3,No,Naukri,90,2024-11-27,2024-12-15,18
HT0010,HR,HR Analyst,Band_3,10,Tokyo,4,1,Yes,Naukri,60,2025-06-24,2025-07-20,26
HT0011,Technology,Backend Developer,Band_1,2,Chennai,1,3,No,Naukri,60,2025-08-25,2025-09-13,19
HT0012,HR,HR Analyst,Band_5,17,Shanghai,3,2,No,Consultant,90,2024-05-15,2024-06-08,24
HT0013,Technology,ML Engineer,Band_6,17,Bangalore,2,2,No,Consultant,90,2025-10-23,2025-11-11,19
HT0014,Technology,Backend Developer,Band_5,16,Hyderabad,2,2,No,LinkedIn,90,2024-04-10,2024-04-29,19
HT0015,Operations,Supply Chain Lead,Band_3,10,Bangalore,5,1,Yes,Referral,30,2025-03-09,2025-04-05,27
HT0016,Technology,ML Engineer,Band_2,3,Bangalore,5,1,Yes,Other,30,2025-05-29,2025-06-17,19
HT0017,Technology,Backend Developer,Band_6,11,Nagoya,3,2,No,Referral,90,2025-08-20,2025-09-12,23
HT0018,Technology,Backend Developer,Band_5,12,Beijing,2,2,No,Other,90,2025-07-30,2025-08-19,20
HT0019,Technology,ML Engineer,Band_5,18,Chennai,2,3,No,Referral,90,2024-11-02,2024-11-19,17
HT0020,Operations,Supply Chain Lead,Band_3,9,Beijing,4,3,Yes,LinkedIn,30,2024-02-22,2024-03-11,18
HT0021,Technology,ML Engineer,Band_2,2,Beijing,2,3,Yes,Naukri,30,2025-07-12,2025-08-02,21
HT0022,Operations,Supply Chain Lead,Band_5,11,Chennai,1,2,No,LinkedIn,90,2024-06-07,2024-06-23,16
HT0023,Sales,Account Executive,Band_2,3,Hyderabad,3,3,Yes,Other,90,2024-12-24,2025-01-14,21
HT0024,Operations,Operations Analyst,Band_1,3,Osaka,1,2,No,Other,60,2024-09-24,2024-10-13,19
HT0025,Operations,Operations Analyst,Band_6,17,Nagoya,3,3,No,Referral,90,2025-03-22,2025-04-18,27
HT0026,Operations,Supply Chain Lead,Band_6,14,Bangalore,3,2,No,Other,90,2025-02-22,2025-03-19,25
HT0027,Operations,Supply Chain Lead,Band_2,7,Shanghai,3,3,Yes,Other,60,2025-03-16,2025-04-11,26
HT0028,Technology,Data Engineer,Band_6,20,Hyderabad,5,1,No,Consultant,90,2024-11-13,2024-11-28,15
HT0029,HR,HR Analyst,Band_2,1,Chennai,1,2,Yes,Naukri,90,2025-11-02,2025-11-20,18
HT0030,Operations,Supply Chain Lead,Band_5,15,Osaka,5,2,No,Naukri,90,2026-01-06,2026-01-29,23
HT0031,HR,HR Analyst,Band_6,15,Bangalore,2,1,No,Consultant,90,2024-10-19,2024-11-10,22
HT0032,Operations,Supply Chain Lead,Band_2,5,Chennai,4,2,Yes,Other,60,2024-03-04,2024-03-29,25
HT0033,HR,HR Analyst,Band_3,6,Osaka,1,2,Yes,Other,30,2025-03-22,2025-04-13,22
HT0034,Technology,ML Engineer,Band_2,1,Beijing,3,2,Yes,Referral,30,2024-05-18,2024-06-07,20
HT0035,HR,HR Analyst,Band_6,11,Tokyo,2,1,No,Naukri,90,2025-07-06,2025-07-24,18
HT0036,Technology,ML Engineer,Band_2,4,Nagoya,1,2,Yes,Other,90,2025-04-21,2025-05-14,23
HT0037,HR,HR Analyst,Band_1,4,Nagoya,3,1,No,Other,60,2025-08-29,2025-09-19,21
HT0038,Technology,Backend Developer,Band_2,6,Hyderabad,5,2,Yes,Referral,60,2024-04-18,2024-05-13,25
HT0039,Technology,Backend Developer,Band_2,4,Beijing,3,2,Yes,Referral,60,2024-09-06,2024-10-02,26
HT0040,Operations,Operations Analyst,Band_5,16,Tokyo,3,1,No,Consultant,90,2024-07-14,2024-08-04,21
HT0041,Operations,Supply Chain Lead,Band_2,1,Shanghai,1,3,Yes,Naukri,60,2025-07-20,2025-08-14,25
HT0042,Technology,ML Engineer,Band_5,19,Shenzhen,2,2,No,Naukri,90,2025-12-07,2025-12-27,20
HT0043,Technology,ML Engineer,Band_5,16,Tokyo,4,2,No,Consultant,90,2024-05-09,2024-05-28,19
HT0044,Sales,Account Executive,Band_3,2,Nagoya,1,1,Yes,LinkedIn,90,2025-05-04,2025-05-20,16
HT0045,Sales,Sales Manager,Band_2,3,Tokyo,3,3,Yes,LinkedIn,60,2025-03-29,2025-04-23,25
HT0046,Sales,Account Executive,Band_5,10,Osaka,3,3,No,Consultant,90,2024-03-17,2024-04-07,21
HT0047,Sales,Sales Manager,Band_6,15,Chennai,2,2,No,Other,90,2025-08-26,2025-09-17,22
HT0048,HR,HR Analyst,Band_2,3,Shanghai,5,2,Yes,LinkedIn,30,2025-12-06,2025-12-31,25
HT0049,Sales,Account Executive,Band_6,19,Osaka,1,2,No,Referral,90,2024-10-02,2024-10-23,21
HT0050,Operations,Supply Chain Lead,Band_6,13,Shenzhen,3,2,No,LinkedIn,90,2024-04-17,2024-05-09,22
HT0051,Technology,ML Engineer,Band_5,15,Osaka,2,2,No,Consultant,90,2025-04-18,2025-05-07,19
HT0052,Technology,Data Engineer,Band_6,13,Osaka,2,2,No,Referral,90,2025-09-15,2025-10-03,18
HT0053,HR,Recruiter,Band_6,5,Nagoya,3,3,Yes,Referral,90,2024-09-06,2024-09-27,21
HT0054,Operations,Supply Chain Lead,Band_5,11,Shanghai,2,3,No,Consultant,90,2025-08-16,2025-09-09,24
HT0055,HR,HR Analyst,Band_3,2,Hyderabad,1,3,Yes,Consultant,30,2025-04-29,2025-05-26,27
